,Road,Name,Average Chainage,Start_LRP,End_LRP,Total Cargo,Total People
134,N8,Srinagar (Int.with R820)-Mawa (Int. with R812),29.4695,LRP025,LRP032,974.0,5229.0
135,N8,Mawa (Int.with R812)-Mawa ferryghat,34.2845,LRP032,LRP032,974.0,5229.0
136,N8,Mawa ferryghat (west)-Panchar (int.with Z8011),41.655,LRP032,LRP048,1831.0,4280.0
137,N8,Panchar (int.with Z8011)-Tarail (int.with Z7108),53.985,LRP048,LRP059,1070.0,3239.0
138,N8,Tarail (int.with Z7108)-Bhanga (int.with N805 N804),63.7525,LRP059,LRP066,1713.0,4550.0
139,N8,Bhanga (int.with N805)-Baraitola (int.with Z8021),72.793,LRP066,LRP077,1070.0,3239.0
140,N8,Baraitola (int.with Z8021)-Takerhat (int.with R850),82.493,LRP077,LRP087,1382.0,3371.0
141,N8,Takerhat (int.with R850)-Mostofapur (int.with R860),95.2575,LRP087,LRP102,1713.0,4550.0
142,N8,Mostofapur (int.with R860)-Int.with Z8603,106.959,LRP102,LRP111,1382.0,3371.0
143,N8,Int.with Z8603-Bhurghata (int.with Z8604),112.7855,LRP111,LRP115,1397.0,3166.0
144,N8,Bhurghata (int.with Z8604)-Gouranadi (int.with Z8031),120.70400000000001,LRP115,LRP126,1397.0,3166.0
145,N8,Gouranadi (int.with Z8031)-Shikerpur (int.with Z8038),135.445,LRP126,LRP144,1359.0,4135.0
146,N8,Shikerpur(int.with Z8038)-Rahamatpur (int.with Z8034),147.64749999999998,LRP144,LRP151,1359.0,4135.0
147,N8,Rahamatpur (int.with Z8034)-Gariarpar (int.with Z8033),153.54,LRP151,LRP156,1359.0,4135.0
148,N8,Gariarpar (int.with Z8033)-Barisal (Int.with Z8037),159.3625,LRP156,LRP161,1359.0,4135.0
149,N8,Barisal (Int.with Z8037)-Barisal Medical More(int.with N809),163.585,LRP161,LRP165,1359.0,4135.0
150,N8,Barisal Medical More (int.with N809) -Barisal (Rupatali Bus Stand) R870,165.10500000000002,LRP165,LRP166,1006.0,5130.0
151,N8,Barisal (Rupatali Bus Stand) R870-Barisal University (Int.with N801),167.4365,LRP166,LRP169d,1006.0,5130.0
152,N8,Barisal University (Int.with N801-Dapdapia Ferryghat (North End) Int. with Z8056,171.1215,LRP169d,LRP173,955.0,3533.0
153,N8,Dapdapia Ferryghat (North End) Int. with Z8056- Bakerkathi (Int.with Z8047),174.8875,LRP173,LRP176,1006.0,5130.0
154,N8,Bakerkathi (Int.with Z8047) -Bakerganj (Int.with Z8810 ),180.371,LRP176,LRP183,974.0,3275.0
155,N8,Bakerganj (Int.with Z8810) -Lebukhali (Int. with Z8806),189.0945,LRP183,LRP194,447.0,2086.0
156,N8,Lebukhali (Int. with Z8806)-End of N8,199.627,LRP194,LRP205,955.0,3533.0
157,N204,Jagadishpur-Chunarughat (Int.with Z2008),12.7245,LRPS,LRP022,366.0,1905.0
158,N204,Chunarughat (Int.with Z2008)-Shaisthaganj,29.935000000000002,LRP022,LRPE,366.0,1905.0
159,N207,Mirpur-Natun Bazar (Int.with Z2008),1.495,LRPS,LRP001,766.0,4272.0
160,N207,Natun Bazar (Int.with Z2008)-Srimongal (Int.with Z2003),13.654499999999999,LRP001,LRP024,766.0,4272.0
161,N207,Srimongal (Int.with Z2003)-Moulvibazar (Int.with N208),33.618,LRP024,LRP043,766.0,4272.0
162,N207,Moulvibazar (Int.with N208)-Sherpur,55.451,LRP043,LRPE,766.0,4272.0
163,N208,Moulvibazar-Int.with Z2002,1.595,LRPS,LRPS,964.0,6550.0
164,N208,Int.with Z2002-Rajnagar (Int.with R281),8.3255,LRPS,LRP012,964.0,6550.0
165,N208,Rajnagar(Int.with R281)-Daudabad (Int.with Z2832),32.2555,LRP012,LRP052,920.0,4408.0
166,N208,Daudabad (Int.with Z2832)-Royal City Chottor(int.with N210),52.196,LRP052,LRP054,920.0,4408.0
167,N208,Royal City Chottor(int.with N210)-Int.with N2,55.418499999999995,LRP054,LRP058,2191.0,7297.0
